antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'no', 'yes'})","frozenset({'Management', 'smart worker'})",0.5017,0.25365,0.12905,0.2572254335260115,1.0140959334753066,1.0,0.001793794999999987,1.0048136186770429,0.027894842464378688,0.20605141306083347,0.004790558753951267,0.3829986816752865
frozenset({'gentle'}),"frozenset({'salary', 'Management'})",0.50155,0.2479,0.12605,0.2513209051938989,1.0137995368854331,1.0,0.0017157549999999716,1.0045692543275633,0.027308058392360578,0.2021976259223612,0.004548471205822193,0.379896031459394
"frozenset({'salary', 'Management'})",frozenset({'gentle'}),0.2479,0.50155,0.12605,0.508471157724889,1.0137995368854331,1.0,0.0017157549999999716,1.0140808781288468,0.01809826047822381,0.2021976259223612,0.013885360065982533,0.379896031459394
"frozenset({'no', 'Technical'})",frozenset({'salary'}),0.37855,0.5039,0.19335,0.5107647602694492,1.0136232591177796,1.0,0.0025986549999999775,1.0140316144708421,0.021627098448798506,0.2805833696125381,0.013837452669722142,0.4472359225042423
frozenset({'salary'}),"frozenset({'no', 'Technical'})",0.5039,0.37855,0.19335,0.3837070847390355,1.0136232591177796,1.0,0.0025986549999999775,1.0083679117694413,0.027091635418274203,0.2805833696125381,0.00829847089715259,0.4472359225042423
"frozenset({'work', 'gentle'})",frozenset({'Management'}),0.2452,0.49765,0.12365,0.5042822185970636,1.0133270744440142,1.0,0.0016262199999999977,1.013379020979021,0.01742421758596443,0.19969315245478036,0.013202385980021075,0.37637500862536794
frozenset({'Management'}),"frozenset({'work', 'gentle'})",0.49765,0.2452,0.12365,0.24846779865367227,1.0133270744440142,1.0,0.0016262199999999977,1.0043481818181819,0.026180550281449087,0.19969315245478036,0.004329356986847206,0.37637500862536794
"frozenset({'no', 'work'})",frozenset({'stubborn'}),0.37185,0.49845,0.1878,0.5050423557886244,1.0132257112822238,1.0,0.0024513674999999957,1.0133190301548491,0.020780187980374405,0.2751648351648351,0.013143965284865793,0.4409051682644597
frozenset({'stubborn'}),"frozenset({'no', 'work'})",0.49845,0.37185,0.1878,0.3767679807402949,1.0132257112822236,1.0,0.0024513674999999957,1.0078910912602606,0.02602547119902738,0.2751648351648351,0.007829309464769355,0.4409051682644597
"frozenset({'no', 'yes'})","frozenset({'Management', 'gentle'})",0.5017,0.2497,0.1269,0.2529400039864461,1.012975586649764,1.0,0.0016255099999999967,1.0043370064034152,0.025706155855045005,0.2032025620496397,0.004318278004059857,0.3805749279043164
"frozenset({'Management', 'gentle'})","frozenset({'no', 'yes'})",0.2497,0.5017,0.1269,0.5082098518221867,1.012975586649764,1.0,0.0016255099999999967,1.013237052117264,0.017072341013686425,0.2032025620496397,0.013064121658010562,0.3805749279043164
frozenset({'gentle'}),"frozenset({'salary', 'yes'})",0.50155,0.3791,0.1926,0.38400957033197086,1.0129505943866286,1.0,0.0024623949999999784,1.007970205534876,0.02564955515785309,0.27992151733158926,0.007907183655936333,0.44602747047329216
"frozenset({'salary', 'yes'})",frozenset({'gentle'}),0.3791,0.50155,0.1926,0.5080453706146135,1.0129505943866284,1.0,0.0024623949999999784,1.0132031903485252,0.020591110917107216,0.27992151733158926,0.013031137756271386,0.44602747047329216
frozenset({'stubborn'}),"frozenset({'Management', 'work'})",0.49845,0.24975,0.1261,0.2529842511786538,1.0129499546692846,1.0,0.0016121124999999847,1.004329562239828,0.025489776300921307,0.20270053046134062,0.004310897938892113,0.3789445780417794
"frozenset({'Management', 'work'})",frozenset({'stubborn'}),0.24975,0.49845,0.1261,0.5049049049049049,1.0129499546692846,1.0,0.0016121124999999847,1.0130377072381722,0.017040183010632565,0.20270053046134062,0.012869913079264108,0.3789445780417794
